Term	Definition	Topic
Intellectual property rights 	 rules governing an individual's owner ship of their own creations or ideas, prohibiting the copying of, for example, software without the owner's	01.2 Multimedia – Graphics, Sound
Interframe	An interframe is a frame in a video compression stream which is expressed in terms of one or more neighboring frames.	01.2 Multimedia – Graphics, Sound
Intraframe	In a motion sequence, individual frames of pictures are grouped together	01.2 Multimedia – Graphics, Sound
Lossy file compression 	 file compression method where parts of the original file cannot be recovered during decompression; some of the original detail is lost .	01.2 Multimedia – Graphics, Sound
MP3	A means of compressing a sound sequence into a very small file, to enable digital storage and transmission.	01.2 Multimedia – Graphics, Sound
MP3/MP4 files 	file compression method used for music and multimedia files.	01.2 Multimedia – Graphics, Sound
On demand (bit streaming ) 	 system that allows users to stream video or music files from a central server as and when required without having to save the files on their own computer/ tablet/ phone.	01.2 Multimedia – Graphics, Sound
Overclocking 	 changing the clock speed of a system clock to a value higher than the factory/recommended sett ing .	01.2 Multimedia – Graphics, Sound
Perceptual music shaping 	 method where sounds outside the normal range of hearing of humans, for example, are eliminated from the music file during compression.	01.2 Multimedia – Graphics, Sound
Pixel 	 smallest picture element that makes up an image.	01.2 Multimedia – Graphics, Sound
Pixel density 	number of pixels per square centimetre.	01.2 Multimedia – Graphics, Sound
Pixels	A minute area of illumination on a display screen, one of many from which an image is composed.	01.2 Multimedia – Graphics, Sound
PNG	Losslessly compressed image format used as a replacement for GIF	01.2 Multimedia – Graphics, Sound
Real-time bit-streaming	The video is continuously created and streamed to another client	01.2 Multimedia – Graphics, Sound
Resistive 	 type of touch screen technology; when a finger touches the screen, the glass layer touches the plastic layer, completing the circuit and causing a current to flow at that point.	01.2 Multimedia – Graphics, Sound
Resolution 	 number of pixels per column and per row on a monitor or television screen.	01.2 Multimedia – Graphics, Sound
Routing table 	 a data ta ble that contains the information necessary to forward a package along the shortest or best route to allow it to reach its destination.	01.2 Multimedia – Graphics, Sound
Sampling rate	The number of times an analog signal is measured (sampled) per second.	01.2 Multimedia – Graphics, Sound
Sampling rate 	number of sound samples taken per second.	01.2 Multimedia – Graphics, Sound
Sampling resolution	Determines how many gradations of amplitude can be represented in the digital waveform	01.2 Multimedia – Graphics, Sound
Sampling resolution/bit depth 	 number of bits used to represent sound amplitude.	01.2 Multimedia – Graphics, Sound
Screen resolution 	 number of horizontal and vertical pixels that make up a screen display; if the screen resolution is smaller than the image resolution, the whole image cannot be shown on the screen, or the original image will become lower quality .	01.2 Multimedia – Graphics, Sound
Segment (transport layer) 	 this is a unit of data (packet) associated with the transport layer protocols.	01.2 Multimedia – Graphics, Sound
SMTP 	 simple mail transfer protocol.	01.2 Multimedia – Graphics, Sound
SVG	An XML-based vector image format for two-dimensional graphics with support for interactivity and animation.	01.2 Multimedia – Graphics, Sound
Universal Serial Bus {USB) 	 a type of port connecting devices to a computer.	01.2 Multimedia – Graphics, Sound
User Interface	Everything designed into an information device which a human being may interact with.	01.2 Multimedia – Graphics, Sound
Vector graphics 	images that use 2D points to describe lines and curves and their properties that are grouped to form geometric shapes.	01.2 Multimedia – Graphics, Sound
Vectors	Created in graphic packages and are scalable.	01.2 Multimedia – Graphics, Sound
Voice over Internet Protocol (VoIP) 	converts voice and webcam images into digital packages to be sent over the internet.	01.2 Multimedia – Graphics, Sound
WAV (RIFF) file	A type of sound file. A multi-format file that contains a header and data.	01.2 Multimedia – Graphics, Sound
Audio compression 	method used to reduce the size of a sound file using perceptual music shaping.	01.3 Compression
Handshake 	A process where the client specifies connection modes to the user as well as verifying it is a legitimate website. There are many type of handshakes such as the SSL/TSL handshake where the public key and compression techniques used between the two are chosen. 	01.3 Compression
Hard disk drive (HOD) 	 type of magnetic storage device that uses spinning disks.	01.3 Compression
JPEG	Bitmap based image format which utilizes lossy compression	01.3 Compression
JPEG 	 Joint Photographic Expert Group ; a form of lossy file compression based on the inability of the eye to spot cert ain colour changes and hues.	01.3 Compression
Lossless file compression 	 file compression method where the original file can be restored following decompression .	01.3 Compression
Progressive Encoding	progressive encoding A method of image encoding that uses multiple scans rather than a single scan.	01.3 Compression
Spatial compression	A compression algorithm applied to a single frame of video independently.	01.3 Compression
Swap space 	 space on HDD used in virtual memory, which saves process data.	01.3 Compression
Temporal compression	technique of reducing compressed video size by not encoding each frame as a complete image.	01.3 Compression
transition	The change from one state to another state	01.3 Compression
Zero compression 	 way of reducing the length of an IPv6 address by replacing groups of zeroes by a double colon (::); this can only be applied once to an address to avoid ambiguity.	01.3 Compression
Argument 	 the value passed to a procedure or function.	10.1 Data Types and Records
Data type 	 a classification attributed to an item of data, which determines the types of value it can take and how it can be used.	10.1 Data Types and Records
Header (procedure or function) 	 the first state ment in the definition of a procedure or function, which contains its name, any parameters passed to it, and, for a function, the type of the return value.	10.1 Data Types and Records
Identifier 	 a unique name applied to an item of data.	10.1 Data Types and Records
identifier table	a table listing the variable identifier required for the solution, with explanations and data types.	10.1 Data Types and Records
In demand paging 	 a form of data swapping where pages of data are not copied from HDD/SSD into RAM until they are actually required .	10.1 Data Types and Records
Normal test data 	 test data that should be accepted by a program.	10.1 Data Types and Records
Relationship	A relationship, in the context of databases, is a situation that exists between two relational database tables when one table has a foreign key that references the primary key of the other table. Relationships allow relational databases to split and store data in different tables, while linking disparate data items.	10.1 Data Types and Records
state transition diagram	A graphical representation of a finite state machine	10.1 Data Types and Records
Array 	 a data structure containing several elements of the same data type.	10.2 Arrays
Hash Table	Hash Table is a data structure which stores data in an associative manner. In a hash table, data is stored in an array format, where each data value has its own unique index value. Access of data becomes very fast if we know the index of the desired data.	10.2 Arrays
Index (array) 	 a numerical indicator of an item of data's position in an array .	10.2 Arrays
Linear search 	 a method of searching in which each element of an array is checked in order.	10.2 Arrays
Back up utility	software that makes copies of files on another portable storage device.	10.3 Files
Binary file 	 a file that does not contain text only; the file is machine	10.3 Files
Close 	file-processing operation; closes a file so it can no longer be used by a program.	10.3 Files
Header	The beginning of a WAV (RIFF) file, used to provide specifications on the file type.	10.3 Files
Pieces 	 splitting up of a file when using peer	10.3 Files
Sequential access 	 a method of file access in which records are searched one after another from the physical start of the file until the required record is found.	10.3 Files
Abstract data type (ADT) 	 a collection of data and a set of operations on that data.	10.4 Introduction to Abstract Data Types (ADT)
Extreme test data 	test data that is on the limit of that accepted by a program.	10.4 Introduction to Abstract Data Types (ADT)
Linked list 	 a list containing several items in which each item in the list points to the next item in the list.	10.4 Introduction to Abstract Data Types (ADT)
Queue 	 a list containing several items operating on the first in, first out (FIFO) principle.	10.4 Introduction to Abstract Data Types (ADT)
Rules 	relationships between facts.	10.4 Introduction to Abstract Data Types (ADT)
Accepting State	A state the system reaches when the input string is valid	11.1 Programming Basics
Coding 	 part of the program development lifecycle; the writing of the program or suite of programs.	11.1 Programming Basics
Element 	one item in a dictionary	11.1 Programming Basics
Insertion sort 	 a method of sorting data in an array into	11.1 Programming Basics
Instance 	 An occurrence of an object during the execution of a program.	11.1 Programming Basics
Loopback address 	 127.0.0.1 a special address that hosts use to direct traffic to themselves (addresses 127.0.0.0 to 127.255.255.255 are reserved)	11.1 Programming Basics
Modulo 11	method used to calculate a check digit based on modulus division by 11.	11.1 Programming Basics
Parameter 	a variable applied to a procedure or function that allows one to pass in a value for the procedure to use.	11.1 Programming Basics
Property 	 data and methods within an object that per form a named action.	11.1 Programming Basics
Pseudocode 	 a method of showing the detailed logical steps in an algorithm, using keywords, identifiers with meaningful names, and mathematical operators.	11.1 Programming Basics
QBE - Query by Example 	DBMS feature that has a graphical user interface to assist users with retrieving data	11.1 Programming Basics
Report window 	 a separate window in the runtime environment of the IDE that shows the contents of variables during the execution of a program.	11.1 Programming Basics
Scope	extent or range of view, outlook, application, operation, effectiveness, etc.: an investigation of wide scope.  In a computer program a variable might be local or global.	11.1 Programming Basics
Segments (memory) 	 variable	11.1 Programming Basics
String	A data type that is consisted of a sequence of characters	11.1 Programming Basics
Syntax error 	 an error in the grammar of a source program.	11.1 Programming Basics
User defined data type 	 a data type based on an existing data type or other data types that have been defined by a programmer.	11.1 Programming Basics
Write 	file access mode in which data can be written to a file; any existing data stored in the file will be overwritten	11.1 Programming Basics
Constant 	 a named value that cannot change during the execution of a program.	11.2 Constructs
Constructor 	 a method used to initialise a new object.	11.2 Constructs
Constructor 	 a special method to tell Python how to create an object of this class: in Python, the constructor method is always called __init__ with a double underscore on each side of ‘init’	11.2 Constructs
Parallel processing 	 operation which allows a process to be split up and for each part to be executed by a different processor at the same time.	11.2 Constructs
Pipelining 	 allows several instructions to be processed simultaneously without having to wait for previous instructions to finish.	11.2 Constructs
event	Something that can happen within a system, such as a timer event, or an input to the system, that may trigger a transition to another state	11.3 Structured Programming
Exception 	an unexpected event that disrupts the execution of a program.	11.3 Structured Programming
Exception handling 	the process of responding to an exception within the program so that the program does not halt unexpectedly.	11.3 Structured Programming
Extend 	a class which uses the functionality of an existing class, but also adds to or overwrites some of it	11.3 Structured Programming
Imperative programming 	 program ming paradigm in which the steps required to execute a program are set out in the order they need to be carried out .	11.3 Structured Programming
Inheritance 	 process in which the methods and data from one class, a superclass or base class, are copied to another class, a derived class.	11.3 Structured Programming
Procedure 	 a set of statements that can be grouped together and easily called in a program whenever required, rather than repeating all of the state ment s each time.	11.3 Structured Programming
Segment number 	index number of a segment.	11.3 Structured Programming
Upper bound 	the index of the last element in an array.	11.3 Structured Programming
Adaptive maintenance 	 the alteration of a program to perform new tasks.	12.1 Program Development Lifecycle
Analysis 	 part of the program development lifecycle; a process of investigation, leading to the specification of what a program is required to do.	12.1 Program Development Lifecycle
Corrective maintenance the correction of any errors that appear during use.	12.1 Program Development Lifecycle
Maintenance 	 part of the program development lifecycle; the process of making sure that the program continues to work during use.	12.1 Program Development Lifecycle
Modular Programming	Modular programming is the process of subdividing a computer program into separate sub-programs. A module is a separate software component. It can often be used in a variety of applications and functions with other components of the system. Similar functions are grouped in the same unit of programming code and separate functions are developed as separate units of code so that the code can be reused by other applications.	12.1 Program Development Lifecycle
Optimisation (compilation) 	the fourth stage in the process of compilation; the creation of an efficient object program.	12.1 Program Development Lifecycle
Program development lifecycle 	 the process of developing a program set out in five stages: analysis, design, coding, testing and maintenance.	12.1 Program Development Lifecycle
Thrash point 	point at which the execution of a process comes to a halt since the system is busier paging in/out of memory rather than actually executing them.	12.1 Program Development Lifecycle
Waterfall model 	 a linear sequential program development cycle, in which each stage is completed before the next is begun.	12.1 Program Development Lifecycle
Backus Naur form (BNF) notation 	a formal method of defining the grammatical rules of a programming language.	12.2 Program Design
Design 	 part of the program development lifecycle; it uses the program specification from the analysis stage to show how the program should be developed .	12.2 Program Design
finite state machine (FSM)	A system that consists of a fixed set of possible states with a set of allowable inputs that may change the state and a set of possible outputs	12.2 Program Design
guard condition	A condition which must be met for a transition to occur from one state to another	12.2 Program Design
Heuristic 	 method that employs a practical solution (rather than a theoretical one) to a problem; when applied to algorithms this includes running tests and obtaining results by trial and error.	12.2 Program Design
Method	a function called upon an object allowing interaction with that object	12.2 Program Design
Node or vertex 	 fundamental unit from which graphs are formed (nodes and vertices are the points where edges converge).	12.2 Program Design
Softmodem 	 abbreviation for software modem; a software? based modem that uses minimal hardware.	12.2 Program Design
Source code 	 a computer program before translation into machine code.	12.2 Program Design
Acceptance testing 	 the testing of a completed program to prove to the customer that it works as required.	12.3 Program Testing and maintenance
Alpha testing 	 the testing of a completed or nearly completed program in-house by the development team	12.3 Program Testing and maintenance
Black box testing	a method of testing a program that tests a module's inputs and outputs. Called black box because no access to source code.	12.3 Program Testing and maintenance
Dry run 	a method of testing a program that involves working through a program or module from a program manually.	12.3 Program Testing and maintenance
Integrated development environment (IDE) 	 a suite of programs used to write and test a computer program written in a hig h	12.3 Program Testing and maintenance
Library routine 	a tested and ready-to-use routine available in the development system of a programming language that can be incorporated into a program.	12.3 Program Testing and maintenance
Logic error 	 an error in the logic of a program.	12.3 Program Testing and maintenance
Prettyprinting 	 the practice of displaying or printing well set out and formatted source code, making it easier to read and understand .	12.3 Program Testing and maintenance
Process states 	 running, ready and blocked; the states of a process requiring execution.	12.3 Program Testing and maintenance
Program library 	a library on a computer where programs and routines are stored which can be freely accessed by other software developers for use in their own programs.	12.3 Program Testing and maintenance
state transition table	A table that shows all the states of an FSM, all possible inputs and the state resulting from each input	12.3 Program Testing and maintenance
Stub testing 	 the use of dummy modules for testing purposes.	12.3 Program Testing and maintenance
System Utilities	Utility software is system software designed to help analyze, configure, optimize or maintain a computer.	12.3 Program Testing and maintenance
Test plan 	 a detailed list showing all the stages of testing and every test that will be performed for a particular program.	12.3 Program Testing and maintenance
Test strategy 	 an overview of the testing required to meet the requirements specified for a particular program; it shows how and when the program is to be tested.	12.3 Program Testing and maintenance
Unwinding 	 process which occurs when a recursive function finds the base case and the function returns the values.	12.3 Program Testing and maintenance
Walkthrough 	 a method of testing a program; a for mal version of a dry run us ing pre	12.3 Program Testing and maintenance
Destructor 	 a method that is automatically invoked when an object is destroyed.	13.1 User-defined data types
Instantiate 	 create an object of a particular class	13.1 User-defined data types
Non-composite data type 	In computer science, a composite data type or compound data type is any data type which can be constructed in a program using the programming language's primitive data types and other composite types.	13.1 User-defined data types
Underflow	If an answer that is smaller than the smallest number that can be represented in the system then underflow has taken place.	13.1 User-defined data types
Append 	 file access mode in which data can be added to the end of a file.	13.2 File organisation and access
Encapsulation 	process of putting data and methods together as a single unit, a class.	13.2 File organisation and access
File access 	the method used to physically find a record in the file.	13.2 File organisation and access
Package 	 a way of grouping together Python files to easily share them with other people	13.2 File organisation and access
Random file organisation 	a method of file organisation in which records of data are physically stored in a file in any available position; the location of any record in the file is found by using a hashing algorithm on the key field of a record.	13.2 File organisation and access
Serial access 	 a method of file access in which records are searched one after another from the physical start of the file until the required record is found.	13.2 File organisation and access
Serial file organisation 	a method of file organisation in which records of data are physically stored in a file, one after another, in the order they were added to the file.	13.2 File organisation and access
Stack 	a list containing several items operating on the Last in, first out (LIFO) principle.	13.2 File organisation and access
UDP	User datagram protocol is connectionless, and less reliable, and the data does not get checked/resent if it is corrupt	13.2 File organisation and access
Binary floating point number	a binary number written in the form M x 2E (where M is the mantissa and E is the exponent).	13.3 Floating-point numbers, representation and manipulation
Floating Point Binary	A data type that is consisted of a binary value that's point is not fixed	13.3 Floating-point numbers, representation and manipulation
Mantissa	Part of a floating point number which consists of its significant figures	13.3 Floating-point numbers, representation and manipulation
Mantissa 	 the fractional part of a floating point number.	13.3 Floating-point numbers, representation and manipulation
Shift 	 moving the bits stored in a register a given number of places within the register; there are different types of shift.	13.3 Floating-point numbers, representation and manipulation
Header (data packet) 	part of a data packet containing key data such as destination IP address, sequence number, and so on.	14.1 Protocols
Karnaugh maps 	a diagram consisting of a rectangular array of squares, each representing a different combination of the variables of a Boolean function. 	14.1 Protocols
MEO	operates at about 5000 to 12000 km away from the earth's surface.	14.1 Protocols
Protocol 	 a set of rules governing communication across a network; the rules are agreed by both sender and recipient.	14.1 Protocols
Public key infrastructure (PKI) 	 a set of protocols, standards and services that allow users to authenticate each other using digital certificates issued by a CA.	14.1 Protocols
Rapid application development (RAD) 	 a type of program development cycle in which different parts of the requirements are developed in parallel, using prototyping to provide early user involvement in testing.	14.1 Protocols
SMTP	A Simple Mail Transfer Protocol is a protocol used for email transfer	14.1 Protocols
Switch 	 hardware used to connect together a number of devices to form a LAN; directs incoming data packets to a specific destination address only.	14.1 Protocols
TCP 	 transmission control protocol.	14.1 Protocols
Timeout 	 time allowed to elapse before acknowledgement is received.	14.1 Protocols
Torrent	protocol used in peer-to-peer networks when sharing files between peers.	14.1 Protocols
Circuit Switching	This is where two computers establish a dedicated channel for communication	14.2 Circuit switching, packet switching
Belady's anomaly 	phenomenon which means it is possible to have more page faults when increasing the number of page frames.	15.1 Processors, Parallel Processing and Virtual Machines
CISC	Complex instruction set computer refers to computers designed with a full set of computer instructions that were intended to provide needed capabilities in the most efficient way	15.1 Processors, Parallel Processing and Virtual Machines
First in first out (FIFO) page replacement 	page replacement that keeps track of all pages in memory using a queue structure; the oldest page is at the front of the queue and is the first to be removed when a new page is added.	15.1 Processors, Parallel Processing and Virtual Machines
Optimal page replacement 	 page replacement algorithm that looks forward in time to see which frame to replace in the event of a page fault.	15.1 Processors, Parallel Processing and Virtual Machines
RISC	a computer based on a processor or processors designed to perform a limited set of operations extremely quickly.	15.1 Processors, Parallel Processing and Virtual Machines
RISC processor 	Reduced instruction set processor - executes cycles all together to be more efficient according to the click cycle 	15.1 Processors, Parallel Processing and Virtual Machines
Round robin (scheduling) 	 scheduling algorithm that uses time slices assigned to each process in a job queue.	15.1 Processors, Parallel Processing and Virtual Machines
SISD 	 single instruction single data, computer architecture which uses a single processor and one data source.	15.1 Processors, Parallel Processing and Virtual Machines
Combination circuit 	 circuit in which the output depends entirely on the input values.	15.2 Boolean Algebra and Logic Circuits
De Morgan's law	A transformation rule that are both valid rules of inference	15.2 Boolean Algebra and Logic Circuits
Flip	flop circuits 	15.2 Boolean Algebra and Logic Circuits
Sum of products (SoP} 	a Boolean expression containing AND	15.2 Boolean Algebra and Logic Circuits
Device driver 	 software that communicates with the operating system and translates data into a format understood by the device.	16.1 Purposes of an Operating System (OS)
Device Drivers	A device driver is a program that controls a particular type of device that is attached to your computer. 	16.1 Purposes of an Operating System (OS)
Emulation 	the use of an app/device to imitate the behaviour of another program/device; for example, running an OS on a computer which is not normally compatible.	16.1 Purposes of an Operating System (OS)
Guest OS 	 an OS running on a virtual machine.	16.1 Purposes of an Operating System (OS)
Translation lookaside buffer (TLB) 	 this is a memory cache which can reduce the time taken to access a user memory location; it is part of the memory management un it.	16.1 Purposes of an Operating System (OS)
Reverse Polish notation (RPN) 	 a method of representing an arithmetical expression without the use of brackets or special punctuation.	16.2 Translation Software
Syntax analysis 	 the second stage in the process of compilation; output from the Lexical analysis is checked for grammatical (syntax) errors.	16.2 Translation Software
Translator 	the systems software used to translate a source program written in any language other than machine code.	16.2 Translation Software
Asymmetric encryption 	 encryption that uses public keys (known to everyone) and private keys (secret keys).	17.1 Encryption, Encryption Protocols and Digital certificates
BitTorrent 	 protocol used in peer	17.1 Encryption, Encryption Protocols and Digital certificates
Digital certificate 	 an electronic document used to prove the identity of a website or individual ; it contains a public key and information identifying the website owner or individual ; issued by a CA.	17.1 Encryption, Encryption Protocols and Digital certificates
Handshake 	 the process of initiating communication between two devices; this is initiated by one device sending a message to another device requesting the exchange of data.	17.1 Encryption, Encryption Protocols and Digital certificates
Plain Text	Text that is not computationally tagged, specially formatted, or written in code.	17.1 Encryption, Encryption Protocols and Digital certificates
Plaintext 	 the original text/document/message before it is put through an encryption algorithm .	17.1 Encryption, Encryption Protocols and Digital certificates
Public Key	A cryptography key that can be obtained and used by anyone to encrypt messages intended for a particular recipient.	17.1 Encryption, Encryption Protocols and Digital certificates
Quantum cryptography 	 cryptography based on the laws of quantum mechanics (the properties of photon s).	17.1 Encryption, Encryption Protocols and Digital certificates
SSL 	Secure socket layer - technology is a standard for encrypted client/server network connections. Usually used in web shopping	17.1 Encryption, Encryption Protocols and Digital certificates
Symmetric encryption 	 encryption in which the same secret key is used to encrypt and decrypt messages.	17.1 Encryption, Encryption Protocols and Digital certificates
Tracker 	 central server that stores details of all other computers in the swarm.	17.1 Encryption, Encryption Protocols and Digital certificates
Transport Layer	The layer of the communication layer where the transfer of packets take place	17.1 Encryption, Encryption Protocols and Digital certificates
Transport Layer Security	A protocol that ensures privacy between communicating applications and their users on the Internet.	17.1 Encryption, Encryption Protocols and Digital certificates
Artificial intelligence (AI) 	 machine or application which carries out a task that requires some degree of intelligence when carried out by a human counterpart.	18.1 Artificial Intelligence
Artificial neural networks 	 networks of interconnected nodes based on the interconnections between neurons in the human brain; the system is able to think like a human using these neural networks, and its performance improves with more data.	18.1 Artificial Intelligence
Back propagation 	method used in artificial neural networks to calculate error gradients so that actual node/neuron weightings can be adjusted to improve the performance of the model.	18.1 Artificial Intelligence
Chatbot 	 computer program set up to simulate conversational interaction between humans and a website.	18.1 Artificial Intelligence
Deep learning 	 machines that think in a way similar to the human brain; they handle huge amounts of data using artificial neural networks.	18.1 Artificial Intelligence
Hypervisor 	 virtual machine software that creates and runs virtual machines.	18.1 Artificial Intelligence
Machine learning 	 systems that learn without being programmed to learn.	18.1 Artificial Intelligence
Qubit 	 the basic unit of a quantum of information (quantum bit).	18.1 Artificial Intelligence
Regression 	 statistical measure used to make predictions from data by finding learning relationships between the inputs	18.1 Artificial Intelligence
Reinforcement learning 	 system which is given no training; learns on basis of reward and punishment.	18.1 Artificial Intelligence
Reward and punishment 	improvements to a model based on whether feedback is positive or negative; actions are optimised to receive an increase in positive feedback.	18.1 Artificial Intelligence
Supervised learning 	 system which is able to predict future outcomes based on past data; it requires both input and output values to be used in the training process.	18.1 Artificial Intelligence
Unsupervised learning 	 system which is able to identify hidden patterns from input data; the system is not trained on the 'right' answer.	18.1 Artificial Intelligence
A* algorithm 	 an algorithm that finds the shortest route between nodes or vertices but uses an additional heuristic approach to achieve better performance than Dijkstra's algorithm.	19.1 Algorithms
Binary search 	a method of searching an ordered list by testing the value of t he middle item in the list and rejecting the half .of the list that does not contain the required value.	19.1 Algorithms
Binary tree 	A hierarchical data structure in which each parent node can have a maximum of two child nodes	19.1 Algorithms
Boolean	A data type that only has two values, true or false	19.1 Algorithms
Boolean algebra 	 a form of algebra linked to logic circuits and based on TRUE and FALSE.	19.1 Algorithms
Bootstrap 	 a small program that is used to load other programs to 'start up' a computer.	19.1 Algorithms
Boundary test data 	 test data that is on the limit of that accepted by a program or data that is just outside the limit of that rejected by a program.	19.1 Algorithms
Breakpoint 	 a deliberate pause in the execution of a program during testing so that the contents of variables, registers, and so on can be inspected to aid debugging.	19.1 Algorithms
Bridge 	 device that connects LANs which use the same protocols.	19.1 Algorithms
